date;sigma;ret;retSD;VolumeExch;AdrActCnt;DiffMean;FeeMeanUSD;HashRate;IssContPctAnn;IssTotUSD;NVTAdj;PriceBTC;PriceUSD;SplyCur;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;GoogleTrends;GoogleTrendsCrypto;ExchangeRatio;USDEUR;VIX;Gold;Wiki;SP
11.Mar.16;0,009589511;0,010608851;1,10629743;73969696;434658;1,58427E+11;0,087519988;1260073,443;9,538502355;1678047,737;27,21387639;1;419,5119342;15306386,11;463697;562447,8444;235953583,1;0,254595265;0,063657692;0,313492574;-5,54624E-05;16,5;-0,010511023;7550;0,013682406
12.Mar.16;0,013198643;-0,023980122;-1,816862668;92712896;374730;1,58427E+11;0,084006775;1134066,098;8,582633519;1476950,988;39,9719348;1;410,2641633;15309986,11;376754;383018,39;157138719,3;0,219210009;0,060812476;0,590006692;0;16,5;0;6256;0
13.Mar.16;0,007645661;0,005861568;0,76665283;74322800;421585;1,58427E+11;0,098760528;1047436,049;7,925294477;1369254,559;43,14265378;1;411,8058825;15313311,11;432962;354945,9704;146168838,6;0,209245356;0,029950953;0,508472262;0;16,5;0;7127;0
14.Mar.16;0,002565347;0,005393445;2,102423258;95259400;451902;1,58427E+11;0,089329783;1197069,77;9,055232346;1577102,438;30,10581533;1;415,0269573;15317111,11;458294;508775,8278;211155683,7;0,235158705;0,059841704;0,451133487;0,000446019;16,92;-0,011425956;10334;0,000183218
15.Mar.16;0,005306742;0,001056144;0,199019245;66781700;451559;1,58427E+11;0,088249688;1267948,902;9,588877673;1671447,261;28,54612031;1;415,2664003;15321136,11;467789;536715,1804;222879781;0,246043981;0,083223014;0,299631037;0;16,84;-0,011314166;9939;0,000327446
16.Mar.16;0,003014496;0,000287804;0,095473442;65185800;449250;1,58427E+11;0,094447506;1197069,77;9,050608692;1584691,65;28,24891643;1;417,0241185;15324936,11;463715;542496,4228;226234092,5;0,168861555;0,064696819;0,288134292;-8,91129E-05;14,99;-0,000894418;8767;0,006423443
17.Mar.16;0,003333016;0,006511573;1,953658255;83528600;482125;1,58427E+11;0,093260239;1110439,721;8,393699736;1475583,907;27,32645615;1;418,6053638;15328461,11;505514;560938,4923;234811861,7;0,214276339;0,064636617;0,355725641;0,000168479;14,44;0,028231885;8000;0,006731449
18.Mar.16;0,018342161;-0,026504382;-1,444997792;104940000;425769;1,62638E+11;0,085189602;1099528,522;8,094255425;1390265,397;28,20633561;1;408,9015874;15331861,11;451671;543560,898;222262914;0,211974784;0,054629762;0,472143544;0,000226214;14,02;-0,008497847;7261;0,00411662
19.Mar.16;0,006234069;0,00285467;0,457914417;58423000;428645;1,65497E+11;0,078596922;1118857,352;8,092460838;1391023,062;45,18938392;1;409,1244299;15335261,11;468093;339355,3924;138838581,5;0,222334873;0,035398064;0,420798019;0;14,02;0;5803;0
20.Mar.16;0,005185785;0,008153802;1,572336955;45947900;430803;1,65497E+11;0,078376293;1201126,275;8,685427474;1504007,881;50,72983645;1;412,0569538;15338911,11;486489;302364,6869;124591471,8;0,154293791;0,038318532;0,368788484;0;14,02;0;6392;0
21.Mar.16;0,005216156;-0,000266109;-0,051016238;61655400;435918;1,65497E+11;0,085251459;1143538,029;8,267129967;1430316,165;36,95932415;1;411,6017741;15342386,11;473012;415115,4402;170862251,6;0,244235175;0,047134498;0,360848575;0,00027045;13,79;-0,00800773;7624;0,001814865
22.Mar.16;0,00664228;0,011934407;1,796733498;66813300;462080;1,65497E+11;0,086503871;1217580,06;8,800289468;1541352,119;35,73448037;1;416,5816538;15346086,11;507741;429447,5799;178899983,1;0,204707121;0,056746271;0,373467335;-9,07759E-05;14,17;0,003531304;8206;0,000566069
23.Mar.16;0,003223679;-0,000287013;-0,08903265;61444200;438399;1,65497E+11;0,085845843;1225806,952;8,857600852;1554734,166;32,73227196;1;417,3782995;15349811,11;451253;468950,3721;195729708,9;0,203358626;0,06020543;0,313923729;0;14,94;-0,019823458;8114;-0,005796465
24.Mar.16;0,004484622;-0,004863392;-1,084459647;68346704;430544;1,65497E+11;0,08363535;1209353,168;8,73661519;1519833,882;30,06620621;1;413,5602399;15353486,11;436296;510655,9173;211186983,7;0,215164523;0,054257883;0,323631233;-9,03273E-05;14,74;-0,001881314;8782;0,001700906
25.Mar.16;0,004156662;0,001607312;0,386683481;52560000;392195;1,65497E+11;0,079018574;1201126,275;8,675120088;1519762,34;35,55879469;1;416,3732438;15357136,11;401947;431880,1086;179823321,8;0,231839216;0,058529155;0,292286893;8,86505E-05;14,74;0;7324;0
26.Mar.16;0,004538196;0,001412649;0,31127992;44650400;471861;1,65497E+11;0,096583485;1258714,521;9,088786761;1594348,345;41,97478616;1;416,8230967;15360961,11;413191;365956,8641;152539273,3;0,224636428;0,030019309;0,292714126;0;14,74;0;6252;0
27.Mar.16;0,013493976;0,020428922;1,513929063;71229400;410531;1,65497E+11;0,081831029;1159991,814;8,374019089;1499728,733;31,94318674;1;425,4549598;15364486,11;415988;480994,155;204641348,9;0,159785086;0,043637085;0,348069441;0;14,74;0;6509;0
28.Mar.16;0,00487626;-0,005453832;-1,118445675;68522800;520539;1,65497E+11;0,09966823;1398571,69;10,09354308;1797399,149;33,49818201;1;422,9174468;15368736,11;465996;458793,1401;194031623,4;0,245616107;0,063437575;0,353152743;0;15,24;-0,001228854;7847;-0,000412276
29.Mar.16;0,019679656;-0,018506273;-0,940375831;75411504;674110;1,65497E+11;0,121514241;1291622,091;9,319303858;1632265,528;29,37121072;1;415,8638288;15372661,11;490627;523392,1495;217659863,2;0,245155796;0,059303014;0,346464906;0,000156224;13,82;0,012787794;8713;0,009416413
30.Mar.16;0,006744959;-0,004833774;-0,716649772;66034100;475833;1,65497E+11;0,09361585;1209353,168;8,723632147;1516958,039;36,61961573;1;412,7776978;15376336,11;429792;419893,4316;173322644;0,266958786;0,057671891;0,380989457;0,00016916;13,56;-0,007066019;8453;0,002755798
31.Mar.16;0,004797125;0,0035337;0,736628646;60215200;425668;1,65497E+11;0,0923628;1020134,645;7,357226831;1289466,115;32,39084662;1;415,9568112;15379436,11;442503;474808,093;197499660,3;0,236636951;0,065554083;0,304887613;5,73479E-05;13,95;0,005932324;8131;-0,001954646
01.Apr.16;0,003542762;0,002875218;0,811575188;51235700;498916;1,66568E+11;0,10642789;1266862,833;9,075611406;1595792,525;34,88177127;1;417,2006603;15383261,11;482770;441011,4668;183990275,1;0,171130672;0,054084174;0,278469609;5,7121E-05;13,1;-0,009770473;7467;0,007826843
02.Apr.16;0,004975705;0,005838285;1,173358204;45681200;486983;1,66852E+11;0,113181819;1152898,486;8,243301184;1458676,622;44,98829505;1;419,7630567;15386736,11;449018;342016,431;143565862,5;0,155707162;0,033060028;0,318189848;0;13,1;0;6114;0
03.Apr.16;0,0031351;-0,000641277;-0,204547483;38053700;456249;1,66852E+11;0,101795609;1177781,187;8,41927168;1491261,205;45,51515782;1;420,0735789;15390286,11;450813;338135,4003;142041747,8;0,17514372;0,012286099;0,267905039;0;13,1;0;7076;0
